,carat,price,cut__Fair,cut__Good,cut__Ideal,cut__Premium,cut__Very Good,color__D,color__E,color__F,color__G,color__H,color__I,color__J,clarity__I1,clarity__IF,clarity__SI1,clarity__SI2,clarity__VS1,clarity__VS2,clarity__VVS1,clarity__VVS2
189,0.71,2777,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
190,0.71,2777,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
191,0.7,2777,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
192,0.7,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
193,0.7,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
194,0.7,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
195,0.7,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
196,0.7,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
197,0.7,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
198,0.7,2777,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
199,0.72,2777,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
200,0.7,2777,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
201,0.7,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
202,0.7,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
203,0.7,2777,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
204,0.98,2777,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
205,0.78,2777,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
206,0.7,2777,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
207,0.52,2778,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
208,0.73,2779,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
209,0.74,2779,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
210,0.7,2780,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
211,0.77,2780,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
212,0.71,2780,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
213,0.74,2780,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
214,0.7,2780,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
215,1.01,2781,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
216,0.77,2781,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
217,0.78,2781,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
218,0.72,2782,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
219,0.53,2782,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,0.76,2782,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
221,0.7,2782,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
222,0.7,2782,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
223,0.75,2782,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
224,0.72,2782,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
225,0.72,2782,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,0.7,2782,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
227,0.84,2782,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
228,0.75,2782,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
229,0.52,2783,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
230,0.72,2784,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
231,0.79,2784,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
232,0.72,2787,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
233,0.51,2787,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
234,0.64,2787,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
235,0.7,2788,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
236,0.83,2788,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
237,0.76,2788,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
238,0.71,2788,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
239,0.77,2788,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
240,0.71,2788,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
241,1.01,2788,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
242,1.01,2788,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
243,0.77,2789,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
244,0.76,2789,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
245,0.76,2789,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
246,0.76,2789,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
247,1.05,2789,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
248,0.81,2789,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
249,0.7,2789,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
250,0.55,2789,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
251,0.81,2789,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
252,0.63,2789,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
253,0.63,2789,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
254,0.77,2789,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
255,1.05,2789,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
256,0.64,2790,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
257,0.76,2790,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
258,0.83,2790,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
259,0.71,2790,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
260,0.71,2790,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
261,0.87,2791,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
262,0.73,2791,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
263,0.71,2792,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
264,0.71,2792,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
265,0.71,2792,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
266,0.7,2792,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
267,0.7,2792,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
268,0.76,2792,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
269,0.7,2792,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
270,0.79,2793,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
271,0.7,2793,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
272,0.7,2793,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
273,0.76,2793,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
274,0.73,2793,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
275,0.79,2794,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
276,0.71,2795,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
277,0.81,2795,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
278,0.81,2795,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
279,0.72,2795,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
280,0.72,2795,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
281,0.72,2795,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
